枠番号,キャラ名,カード名,シリーズ,属性,開始日,終了日,復刻回数,URL
9,ルーカス・エラント,弱者に手を差し伸べて,休日,火,2024/06/11,2024/06/14,1,https://nek0-tkdb.github.io/tools/img/lucas_hol.jpg
10,冠氷 尋,凍れる王子に雪解けを,結婚,火,2024/06/14,2024/06/21,1,https://nek0-tkdb.github.io/tools/img/jin_mar.jpg
10,磴 塔真,創られし笑顔,恒常,水,2024/06/14,2024/06/21,2,https://nek0-tkdb.github.io/tools/img/tohma01.jpg
10,星喰 大我,博徒は欲望のままに,恒常,水,2024/06/18,2024/06/21,2,https://nek0-tkdb.github.io/tools/img/taiga01.jpg
11,草薙 伯玖,ただありふれた祝福を,結婚,草,2024/06/21,2024/06/28,1,https://nek0-tkdb.github.io/tools/img/haku_mar.jpg
11,灰園 翔平,余裕系男子,恒常,草,2024/06/21,2024/06/28,2,https://nek0-tkdb.github.io/tools/img/shohei01.jpg
11,ロミオ・ルッチ,積み上げてきた富と罪,恒常,草,2024/06/25,2024/06/28,2,https://nek0-tkdb.github.io/tools/img/romeo01.jpg
12,観月 累,死神の寵愛,恒常,水,2024/06/28,2024/07/05,1,https://nek0-tkdb.github.io/tools/img/rui01.jpg
12,御堂 亜嵐,真実なら奪い獲るまで,恒常,草,2024/06/28,2024/07/05,2,https://nek0-tkdb.github.io/tools/img/alan01.jpg
12,エドワード・ハート,真夜中の怪異公,恒常,火,2024/07/02,2024/07/09,1,https://nek0-tkdb.github.io/tools/img/edward01.jpg
13,ライカ・コルト,なに見てんだよ、人間,恒常,草,2024/07/05,2024/07/12,1,https://nek0-tkdb.github.io/tools/img/lyca01.jpg
13,針条 律,全ての黒を眩き白に,恒常,火,2024/07/05,2024/07/12,2,https://nek0-tkdb.github.io/tools/img/ritsu01.jpg
13,御堂 亜嵐,夕闇迫る黒鉄の下で,休日,水,2024/07/09,2024/07/12,1,https://nek0-tkdb.github.io/tools/img/alan_hol.jpg
14,加賀見 昴流,御神籤に訊ねる,休日,水,2024/07/12,2024/07/19,1,https://nek0-tkdb.github.io/tools/img/subaru_hol.jpg
14,冠氷 尋,凍てついた暴君,恒常,水,2024/07/12,2024/07/19,2,https://nek0-tkdb.github.io/tools/img/jin01.jpg
14,音無 叶空,夜空に咲かせ、大輪の花,休日,草,2024/07/16,2024/07/19,2,https://nek0-tkdb.github.io/tools/img/towa_hol.jpg
15,黒鷲 玲音,夜の帳を足元に,休日,水,2024/07/19,2024/07/26,2,https://nek0-tkdb.github.io/tools/img/leo_hol.jpg
15,ルーカス・エラント,集う光の下へ,恒常,草,2024/07/19,2024/07/26,3,https://nek0-tkdb.github.io/tools/img/lucas01.jpg
15,草薙 伯玖,諧謔趣味の若神主,恒常,火,2024/07/23,2024/07/30,2,https://nek0-tkdb.github.io/tools/img/haku01.jpg
16,艸楽 陽,弾けるポップな夜遊びを,休日,草,2024/07/26,2024/08/02,1,https://nek0-tkdb.github.io/tools/img/haru_hol.jpg
16,白波 蓮,はみ出し者にも止り木を,休日,火,2024/07/26,2024/08/02,1,https://nek0-tkdb.github.io/tools/img/ren_hol.jpg
16,桐崎 次郎,目覚めた怪物,恒常,火,2024/07/30,2024/08/06,1,https://nek0-tkdb.github.io/tools/img/jiro01.jpg
17,衣佐美 佑理,生かすも殺すも僕次第,恒常,水,2024/08/02,2024/08/09,1,https://nek0-tkdb.github.io/tools/img/yuri01.jpg
17,観月 累,死神の寵愛,恒常,水,2024/08/02,2024/08/09,2,https://nek0-tkdb.github.io/tools/img/rui01.jpg
17,冠氷 尋,凍れる王子に雪解けを,結婚,火,2024/08/06,2024/08/13,2,https://nek0-tkdb.github.io/tools/img/jin_mar.jpg
18,観月 累,心に触れる花束を,結婚,火,2024/08/09,2024/08/16,1,https://nek0-tkdb.github.io/tools/img/rui_mar.jpg
18,歩二 魁斗,庶民派代表貴族コーデ,恒常,水,2024/08/09,2024/08/16,3,https://nek0-tkdb.github.io/tools/img/kaito01.jpg
18,ライカ・コルト,なに見てんだよ、人間,恒常,草,2024/08/13,2024/08/20,2,https://nek0-tkdb.github.io/tools/img/lyca01.jpg
19,冠氷 尋,俺の座る椅子が常に王座,休日,草,2024/08/16,2024/08/23,1,https://nek0-tkdb.github.io/tools/img/jin_hol.jpg
19,灰園 翔平,余裕系男子,恒常,草,2024/08/16,2024/08/23,3,https://nek0-tkdb.github.io/tools/img/shohei01.jpg
19,エドワード・ハート,真夜中の怪異公,恒常,火,2024/08/20,2024/08/27,2,https://nek0-tkdb.github.io/tools/img/edward01.jpg
20,殊玉 善治,素敵なサムシング探訪記,休日,火,2024/08/23,2024/08/30,1,https://nek0-tkdb.github.io/tools/img/zenji_hol.jpg
20,草薙 伯玖,ただありふれた祝福を,結婚,草,2024/08/23,2024/08/30,2,https://nek0-tkdb.github.io/tools/img/haku_mar.jpg
20,桐崎 次郎,目覚めた怪物,恒常,火,2024/08/27,2024/09/03,2,https://nek0-tkdb.github.io/tools/img/jiro01.jpg
20,音無 叶空,言の葉は泡となりて,恒常,草,2024/08/27,2024/09/03,3,https://nek0-tkdb.github.io/tools/img/towa01.jpg
21,星喰 大我,噛み殺した渇望の遺物,8章,火,2024/08/30,2024/09/06,1,https://nek0-tkdb.github.io/tools/img/taiga08.jpg
21,加賀見 昴流,雨霞に煙る立役者,恒常,草,2024/08/30,2024/09/06,2,https://nek0-tkdb.github.io/tools/img/subaru01.jpg
21,針条 律,司法こそが我が至宝,8章,草,2024/09/03,2024/09/10,1,https://nek0-tkdb.github.io/tools/img/ritsu08.jpg
21,黒鷲 玲音,悪魔からの新着通知,恒常,火,2024/09/03,2024/09/10,3,https://nek0-tkdb.github.io/tools/img/leo01.jpg
22,ロミオ・ルッチ,艶やかに散りゆく紅,8章,水,2024/09/06,2024/09/13,1,https://nek0-tkdb.github.io/tools/img/romeo08.jpg
22,冠氷 尋,凍てついた暴君,恒常,水,2024/09/06,2024/09/13,3,https://nek0-tkdb.github.io/tools/img/jin01.jpg
22,御堂 亜嵐,男身一つ、露天参り,温泉,火,2024/09/10,2024/09/17,1,https://nek0-tkdb.github.io/tools/img/alan_spr.jpg
22,ルーカス・エラント,弱者に手を差し伸べて,休日,火,2024/09/10,2024/09/17,2,https://nek0-tkdb.github.io/tools/img/lucas_hol.jpg
23,草薙 伯玖,行く川の流れに身を委ね,休日,水,2024/09/13,2024/09/20,1,https://nek0-tkdb.github.io/tools/img/haku_hol.jpg
23,衣佐美 佑理,生かすも殺すも僕次第,恒常,水,2024/09/13,2024/09/20,2,https://nek0-tkdb.github.io/tools/img/yuri01.jpg
23,観月 累,死神の寵愛,恒常,水,2024/09/17,2024/09/24,3,https://nek0-tkdb.github.io/tools/img/rui01.jpg
23,灰園 翔平,余裕系男子,恒常,草,2024/09/17,2024/09/24,4,https://nek0-tkdb.github.io/tools/img/shohei01.jpg
24,エドワード・ハート,夜来の雨とはぐれ妖,休日,草,2024/09/20,2024/09/27,1,https://nek0-tkdb.github.io/tools/img/edward_hol.jpg
24,艸楽 陽,怪異サファリにようこそ,恒常,火,2024/09/20,2024/09/27,3,https://nek0-tkdb.github.io/tools/img/haru01.jpg
24,冠氷 尋,俺の座る椅子が常に王座,休日,草,2024/09/24,2024/10/01,2,https://nek0-tkdb.github.io/tools/img/jin_hol.jpg
24,ライカ・コルト,なに見てんだよ、人間,恒常,草,2024/09/24,2024/10/01,3,https://nek0-tkdb.github.io/tools/img/lyca01.jpg
24,磴 塔真,待ち伏せた鏡の中で,休日,火,2024/09/24,2024/10/01,2,https://nek0-tkdb.github.io/tools/img/tohma_hol.jpg
25,桐崎 次郎,血染めの畏怖,9章,草,2024/09/27,2024/10/04,1,https://nek0-tkdb.github.io/tools/img/jiro_09.jpg
25,白波 蓮,最悪に次ぐ最悪,恒常,水,2024/10/01,2024/10/08,3,https://nek0-tkdb.github.io/tools/img/ren01.jpg
25,殊玉 善治,屍者のフィロソフィア,9章,草,2024/10/01,2024/10/08,1,https://nek0-tkdb.github.io/tools/img/zenji_09.jpg
25,黒鷲 玲音,夜の帳を足元に,休日,水,2024/10/01,2024/10/08,3,https://nek0-tkdb.github.io/tools/img/leo_hol.jpg
26,ロミオ・ルッチ,黒曜の葬送人,9章,火,2024/10/04,2024/10/11,1,https://nek0-tkdb.github.io/tools/img/romeo_09.jpg
26,草薙 伯玖,諧謔趣味の若神主,恒常,火,2024/10/04,2024/10/11,3,https://nek0-tkdb.github.io/tools/img/haku01.jpg
26,歩二 魁斗,今宵は静かな屍人形,9章,火,2024/10/08,2024/10/15,1,https://nek0-tkdb.github.io/tools/img/kaito_09.jpg
26,御堂 亜嵐,真実なら奪い獲るまで,恒常,草,2024/10/08,2024/10/15,3,https://nek0-tkdb.github.io/tools/img/alan01.jpg
27,冠氷 尋,氷皇の素顔,パジャマ,水,2024/10/11,2024/10/18,1,https://nek0-tkdb.github.io/tools/img/jin_pjm.jpg
27,針条 律,全ての黒を眩き白に,恒常,火,2024/10/11,2024/10/18,3,https://nek0-tkdb.github.io/tools/img/ritsu01.jpg
27,星喰 大我,噛み殺した渇望の遺物,8章,火,2024/10/15,2024/10/22,2,https://nek0-tkdb.github.io/tools/img/taiga08.jpg
27,ルーカス・エラント,集う光の下へ,恒常,草,2024/10/15,2024/10/22,4,https://nek0-tkdb.github.io/tools/img/lucas01.jpg
28,灰園 翔平,余裕系男子,恒常,草,2024/10/18,2024/10/25,5,https://nek0-tkdb.github.io/tools/img/shohei01.jpg
28,加賀見 昴流,御神籤に訊ねる,休日,水,2024/10/18,2024/10/25,2,https://nek0-tkdb.github.io/tools/img/subaru_hol.jpg
28,音無 叶空,夜空に咲かせ、大輪の花,休日,草,2024/10/22,2024/10/29,3,https://nek0-tkdb.github.io/tools/img/towa_hol.jpg
28,衣佐美 佑理,生かすも殺すも僕次第,恒常,水,2024/10/22,2024/10/29,3,https://nek0-tkdb.github.io/tools/img/yuri01.jpg
29,桐崎 次郎,目覚めた怪物,恒常,火,2024/10/25,2024/11/01,3,https://nek0-tkdb.github.io/tools/img/jiro01.jpg
29,艸楽 陽,弾けるポップな夜遊びを,休日,草,2024/10/25,2024/11/01,2,https://nek0-tkdb.github.io/tools/img/haru_hol.jpg
29,エドワード・ハート,闇より来たる従者,10章,水,2024/10/29,2024/11/05,1,https://nek0-tkdb.github.io/tools/img/edward_10.jpg
29,白波 蓮,はみ出し者にも止り木を,休日,火,2024/10/29,2024/11/05,2,https://nek0-tkdb.github.io/tools/img/ren_hol.jpg
30,観月 累,燭台に揺らめく影細工,10章,草,2024/11/01,2024/11/08,1,https://nek0-tkdb.github.io/tools/img/rui_10.jpg
30,針条 律,司法こそが我が至宝,8章,草,2024/11/01,2024/11/08,2,https://nek0-tkdb.github.io/tools/img/ritsu08.jpg
30,ライカ・コルト,見習い執事は破天荒,10章,水,2024/11/05,2024/11/12,1,https://nek0-tkdb.github.io/tools/img/lyca_10.jpg
30,磴 塔真,創られし笑顔,恒常,水,2024/11/05,2024/11/12,3,https://nek0-tkdb.github.io/tools/img/tohma01.jpg
31,星喰 大我,欲望渦巻くこの街で,休日,草,2024/11/08,2024/11/15,1,https://nek0-tkdb.github.io/tools/img/taiga_hol.jpg
31,殊玉 善治,ボクは令和の夏目漱石,恒常,水,2024/11/08,2024/11/15,2,https://nek0-tkdb.github.io/tools/img/zenji01.jpg
31,加賀見 昴流,平穏に爪先を浸して,浴衣,火,2024/11/12,2024/11/19,1,https://nek0-tkdb.github.io/tools/img/subaru_spr.jpg
31,ロミオ・ルッチ,積み上げてきた富と罪,恒常,草,2024/11/12,2024/11/19,3,https://nek0-tkdb.github.io/tools/img/romeo01.jpg
32,草薙 伯玖,暮れ提灯の晩酌,浴衣,火,2024/11/15,2024/11/22,1,https://nek0-tkdb.github.io/tools/img/haku_spr.jpg
32,黒鷲 玲音,悪魔からの新着通知,恒常,火,2024/11/15,2024/11/22,4,https://nek0-tkdb.github.io/tools/img/leo01.jpg
32,観月 累,心に触れる花束を,結婚,火,2024/11/19,2024/11/26,2,https://nek0-tkdb.github.io/tools/img/rui_mar.jpg
32,歩二 魁斗,今宵は静かな屍人形,9章,火,2024/11/19,2024/11/26,2,https://nek0-tkdb.github.io/tools/img/kaito_09.jpg
33,衣佐美 佑理,時を越えた対話,休日,火,2024/11/22,2024/11/29,1,https://nek0-tkdb.github.io/tools/img/yuri_hol.jpg
33,桐崎 次郎,血染めの畏怖,9章,草,2024/11/22,2024/11/29,2,https://nek0-tkdb.github.io/tools/img/jiro_09.jpg
33,冠氷 尋,凍れる王子に雪解けを,結婚,火,2024/11/26,2024/12/03,3,https://nek0-tkdb.github.io/tools/img/jin_mar.jpg
33,ルーカス・エラント,弱者に手を差し伸べて,休日,火,2024/11/26,2024/12/03,3,https://nek0-tkdb.github.io/tools/img/lucas_hol.jpg
34,灰園 翔平,綽々たるプリズナー,11章,水,2024/11/29,2024/12/06,1,https://nek0-tkdb.github.io/tools/img/shohei_11.jpg
34,星喰 大我,博徒は欲望のままに,恒常,水,2024/11/29,2024/12/06,3,https://nek0-tkdb.github.io/tools/img/taiga01.jpg
34,黒鷲 玲音,キミの処遇はオレ次第,11章,草,2024/12/03,2024/12/10,1,https://nek0-tkdb.github.io/tools/img/leo_11.jpg
34,エドワード・ハート,真夜中の怪異公,恒常,火,2024/12/03,2024/12/10,3,https://nek0-tkdb.github.io/tools/img/edward01.jpg
35,御堂 亜嵐,此処が地獄であろうとも,11章,草,2024/12/06,2024/12/13,1,https://nek0-tkdb.github.io/tools/img/alan_11.jpg
35,草薙 伯玖,ただありふれた祝福を,結婚,草,2024/12/06,2024/12/13,3,https://nek0-tkdb.github.io/tools/img/haku_mar.jpg
35,歩二 魁斗,愚者の誘惑,誕生日,草,2024/12/10,2024/12/17,1,https://nek0-tkdb.github.io/tools/img/kaito_tar.jpg
35,ライカ・コルト,なに見てんだよ、人間,恒常,草,2024/12/10,2024/12/17,4,https://nek0-tkdb.github.io/tools/img/lyca01.jpg
36,冠氷 尋,夕風は王の頬を撫で,浴衣,火,2024/12/13,2024/12/20,1,https://nek0-tkdb.github.io/tools/img/jin_spr.jpg
36,針条 律,全ての黒を眩き白に,恒常,火,2024/12/13,2024/12/20,4,https://nek0-tkdb.github.io/tools/img/ritsu01.jpg
36,観月 累,燭台に揺らめく影細工,10章,草,2024/12/17,2024/12/24,2,https://nek0-tkdb.github.io/tools/img/rui_10.jpg
36,磴 塔真,創られし笑顔,恒常,水,2024/12/17,2024/12/24,4,https://nek0-tkdb.github.io/tools/img/tohma01.jpg
37,加賀見 昴流,雨霞に煙る立役者,恒常,草,2024/12/20,2024/12/27,3,https://nek0-tkdb.github.io/tools/img/subaru01.jpg
37,殊玉 善治,素敵なサムシング探訪記,休日,火,2024/12/20,2024/12/27,2,https://nek0-tkdb.github.io/tools/img/zenji_hol.jpg
37,星喰 大我,噛み殺した渇望の遺物,8章,火,2024/12/24,2024/12/31,3,https://nek0-tkdb.github.io/tools/img/taiga08.jpg
37,ロミオ・ルッチ,艶やかに散りゆく紅,8章,水,2024/12/24,2024/12/31,2,https://nek0-tkdb.github.io/tools/img/romeo08.jpg
38,艸楽 陽,不思議の牧場の案内人,12章,水,2024/12/27,2025/01/03,1,https://nek0-tkdb.github.io/tools/img/haru_12.jpg
38,白波 蓮,挑め望まぬアウトドア,12章,草,2024/12/27,2025/01/03,1,https://nek0-tkdb.github.io/tools/img/ren_12.jpg
38,冠氷 尋,氷皇の素顔,パジャマ,水,2024/12/31,2025/01/07,2,https://nek0-tkdb.github.io/tools/img/jin_pjm.jpg
38,草薙 伯玖,行く川の流れに身を委ね,休日,水,2024/12/31,2025/01/07,2,https://nek0-tkdb.github.io/tools/img/haku_hol.jpg
38,桐崎 次郎,今日の白衣は特別仕様,結婚,水,2025/01/01,2024/01/10,1,https://nek0-tkdb.github.io/tools/img/jiro_mar.jpg
39,音無 叶空,幽けき光に照らされて,12章,水,2025/01/03,2025/01/10,1,https://nek0-tkdb.github.io/tools/img/towa_12.jpg
39,御堂 亜嵐,男身一つ、露天参り,温泉,火,2025/01/03,2025/01/10,2,https://nek0-tkdb.github.io/tools/img/alan_spr.jpg
39,針条 律,金貨のナイトの誘惑,誕生日,水,2025/01/07,2025/01/14,1,https://nek0-tkdb.github.io/tools/img/ritsu_tar.jpg
39,ライカ・コルト,なに見てんだよ、人間,恒常,草,2025/01/07,2025/01/14,5,https://nek0-tkdb.github.io/tools/img/lyca01.jpg
40,エドワード・ハート,遊惰な草枕,浴衣,火,2025/01/10,2025/01/17,1,https://nek0-tkdb.github.io/tools/img/edward_spr.jpg
40,ルーカス・エラント,集う光の下へ,恒常,草,2025/01/10,2025/01/17,5,https://nek0-tkdb.github.io/tools/img/lucas01.jpg
40,殊玉 善治,物語に幸せな結末を,結婚,水,2025/01/14,2025/01/21,1,https://nek0-tkdb.github.io/tools/img/zenji_mar.jpg
40,衣佐美 佑理,生かすも殺すも僕次第,恒常,水,2025/01/14,2025/01/21,4,https://nek0-tkdb.github.io/tools/img/yuri01.jpg
41,星喰 大我,気怠い朝光の誘惑,浴衣,水,2025/01/17,2025/01/24,1,https://nek0-tkdb.github.io/tools/img/taiga_spr.jpg
41,冠氷 尋,凍てついた暴君,恒常,水,2021/01/17,2025/01/24,4,https://nek0-tkdb.github.io/tools/img/jin01.jpg
41,磴 塔真,侠客の貴重な平穏,浴衣,草,2025/01/21,2025/01/28,1,https://nek0-tkdb.github.io/tools/img/tohma_spr.jpg
41,灰園 翔平,余裕系男子,恒常,草,2025/01/21,2025/01/28,6,https://nek0-tkdb.github.io/tools/img/shohei01.jpg
43,ロミオ・ルッチ,凛と咲く風待草の如く,浴衣,草,2025/01/24,2025/01/31,1,https://nek0-tkdb.github.io/tools/img/romeo_spr.jpg
43,桐崎 次郎,目覚めた怪物,恒常,火,2025/01/24,2025/01/31,4,https://nek0-tkdb.github.io/tools/img/jiro01.jpg
43,観月 累,心に触れる花束を,結婚,火,2025/01/28,2025/02/04,3,https://nek0-tkdb.github.io/tools/img/rui_mar.jpg
43,ライカ・コルト,見習い執事は破天荒,10章,水,2025/01/28,2025/02/04,2,https://nek0-tkdb.github.io/tools/img/lyca_10.jpg
44,冠氷 尋,心の裂け目をなぞる指,13章,草,2025/01/31,2025/02/07,1,https://nek0-tkdb.github.io/tools/img/jin_13.jpg
44,黒鷲 玲音,夜の帳を足元に,休日,水,2025/01/31,2025/02/07,4,https://nek0-tkdb.github.io/tools/img/leo_hol.jpg
44,ルーカス・エラント,正義の棲む晶洞,13章,水,2025/02/04,2025/02/11,1,https://nek0-tkdb.github.io/tools/img/lucas_13.jpg
44,ロミオ・ルッチ,黒曜の葬送人,9章,火,2025/02/04,2025/02/11,2,https://nek0-tkdb.github.io/tools/img/romeo_09.jpg
45,磴 塔真,更けゆく夜への献杯,13章,水,2025/02/07,2025/02/14,1,https://nek0-tkdb.github.io/tools/img/tohma_13.jpg
45,白波 蓮,最悪に次ぐ最悪,恒常,水,2025/02/07,2025/02/14,4,https://nek0-tkdb.github.io/tools/img/ren01.jpg
45,歩二 魁斗,光弓の射手,13章,水,2025/02/11,2025/02/18,1,https://nek0-tkdb.github.io/tools/img/kaito_13.jpg
45,エドワード・ハート,夜来の雨とはぐれ妖,休日,草,2025/02/11,2025/02/18,2,https://nek0-tkdb.github.io/tools/img/edward_hol.jpg
46,観月 累,ハートも溶かす熱い囁き,チョコ,水,2025/02/14,2025/02/21,1,https://nek0-tkdb.github.io/tools/img/rui_choco.jpg
46,艸楽 陽,怪異サファリにようこそ,恒常,火,2025/02/14,2025/02/21,4,https://nek0-tkdb.github.io/tools/img/haru01.jpg
46,加賀見 昴流,聖杯のキングの誘惑,誕生日,草,2025/02/18,2025/02/25,1,https://nek0-tkdb.github.io/tools/img/subaru_tar.jpg
46,音無 叶空,言の葉は泡となりて,恒常,草,2025/02/18,2025/02/25,4,https://nek0-tkdb.github.io/tools/img/towa01.jpg
47,灰園 翔平,特別メニューはただ甘く,チョコ,火,2025/02/21,2025/02/28,1,https://nek0-tkdb.github.io/tools/img/shohei_choco.jpg
47,殊玉 善治,屍者のフィロソフィア,9章,草,2025/02/21,2025/02/28,2,https://nek0-tkdb.github.io/tools/img/zenji_09.jpg
47,草薙 伯玖,諧謔趣味の若神主,恒常,火,2025/02/25,2025/03/04,4,https://nek0-tkdb.github.io/tools/img/haku01.jpg
47,御堂 亜嵐,夕闇迫る黒鉄の下で,休日,水,2025/02/25,2025/03/04,2,https://nek0-tkdb.github.io/tools/img/alan_hol.jpg
48,桐崎 次郎,晦冥の底に沈む,14章,火,2025/02/28,2025/03/07,1,https://nek0-tkdb.github.io/tools/img/jiro_14.jpg
48,針条 律,司法こそが我が至宝,8章,草,2025/02/28,2025/03/07,3,https://nek0-tkdb.github.io/tools/img/ritsu08.jpg
48,衣佐美 佑理,黒死降る街の救い手,14章,草,2025/03/04,2025/03/11,1,https://nek0-tkdb.github.io/tools/img/yuri_14.jpg
48,星喰 大我,気怠い朝光の誘惑,浴衣,水,2025/03/04,2025/03/11,2,https://nek0-tkdb.github.io/tools/img/taiga_spr.jpg
48,黒鷲 玲音,悪魔からの新着通知,恒常,火,2025/03/04,2025/03/11,5,https://nek0-tkdb.github.io/tools/img/leo01.jpg
49,エドワード・ハート,夜を染める狭い個室,パジャマ,草,2025/03/07,2025/03/14,1,https://nek0-tkdb.github.io/tools/img/edward_pjm.jpg
49,艸楽 陽,弾けるポップな夜遊びを,休日,草,2025/03/07,2025/03/14,3,https://nek0-tkdb.github.io/tools/img/haru_hol.jpg
49,磴 塔真,待ち伏せた鏡の中で,休日,火,2025/03/07,2025/03/14,3,https://nek0-tkdb.github.io/tools/img/tohma_hol.jpg
49,ロミオ・ルッチ,その手触りに魅せられて,休日,水,2025/03/11,2025/03/18,1,https://nek0-tkdb.github.io/tools/img/romeo_hol.jpg
49,冠氷 尋,俺の座る椅子が常に王座,休日,草,2025/03/11,2025/03/18,3,https://nek0-tkdb.github.io/tools/img/jin_hol.jpg
49,加賀見 昴流,御神籤に訊ねる,休日,水,2025/03/11,2025/03/18,3,https://nek0-tkdb.github.io/tools/img/subaru_hol.jpg
50,観月 累,死神の誘惑,誕生日,火,2025/03/14,2025/03/21,1,https://nek0-tkdb.github.io/tools/img/rui_tar.jpg
50,灰園 翔平,綽々たるプリズナー,11章,水,2025/03/14,2025/03/21,2,https://nek0-tkdb.github.io/tools/img/shohei_11.jpg
50,歩二 魁斗,庶民派代表貴族コーデ,恒常,水,2025/03/14,2025/03/21,4,https://nek0-tkdb.github.io/tools/img/kaito01.jpg
50,ライカ・コルト,なんとなく落ち着く場所,休日,火,2025/03/18,2025/03/25,1,https://nek0-tkdb.github.io/tools/img/lyca_hol.jpg
50,草薙 伯玖,暮れ提灯の晩酌,浴衣,火,2025/03/18,2025/03/25,2,https://nek0-tkdb.github.io/tools/img/haku_spr.jpg
50,白波 蓮,はみ出し者にも止り木を,休日,火,2025/03/18,2025/03/25,3,https://nek0-tkdb.github.io/tools/img/ren_hol.jpg
51,音無 叶空,恋人の誘惑,誕生日,火,2025/03/21,2025/03/28,1,https://nek0-tkdb.github.io/tools/img/towa_tar.jpg
51,ルーカス・エラント,戦車の誘惑,誕生日,草,2025/03/21,2025/03/28,1,https://nek0-tkdb.github.io/tools/img/lucas_tar.jpg
51,桐崎 次郎,血染めの畏怖,9章,草,2025/03/21,2025/03/28,3,https://nek0-tkdb.github.io/tools/img/jiro_09.jpg
51,艸楽 陽,向日葵からの祝福,結婚,火,2025/03/25,2025/04/01,1,https://nek0-tkdb.github.io/tools/img/haru_mar.jpg
51,エドワード・ハート,闇より来たる従者,10章,水,2025/03/25,2025/04/01,2,https://nek0-tkdb.github.io/tools/img/edward_10.jpg
51,御堂 亜嵐,真実なら奪い獲るまで,恒常,草,2025/03/25,2025/04/01,4,https://nek0-tkdb.github.io/tools/img/alan01.jpg
52,草薙 伯玖,心を掌握する瞳,15章,草,2025/03/28,2025/04/04,1,https://nek0-tkdb.github.io/tools/img/haku_15.jpg
